[210, 113]
[196, 128]
[196, 128]
[212, 103]
[273, 110]
[273, 110]
[212, 110]
[212, 110]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[184, 126]
[212, 113]
[212, 113]
[272, 106]
[272, 106]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[211, 113]
[211, 113]
[212, 113]
[212, 113]
[212, 109]
[212, 109]
[212, 114]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 115]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 115]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 110]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 112]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[273, 115]
[273, 116]
[212, 113]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 111]
[212, 111]
[212, 111]
[212, 111]
[212, 110]
[212, 110]
[212, 110]
[212, 111]
[212, 111]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 111]
[212, 111]
[212, 110]
[212, 110]
[212, 113]
[272, 113]
[272, 113]
[212, 110]
[212, 110]
[212, 109]
[212, 109]
[213, 109]
[212, 110]
[212, 110]
[212, 113]
[212, 113]
[213, 109]
[213, 109]
[212, 111]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 112]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[272, 115]
[272, 115]
[273, 114]
[212, 110]
[212, 110]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 110]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 111]
[272, 113]
[212, 113]
[212, 113]
[272, 114]
[272, 114]
[273, 110]
[184, 137]
[184, 137]
[196, 123]
[196, 123]
[196, 124]
[196, 124]
[196, 126]
[273, 110]
[273, 110]
[195, 128]
[195, 128]
[273, 113]
[273, 113]
[273, 112]
[273, 112]
[273, 112]
[273, 113]
[273, 113]
[273, 113]
[273, 113]
[183, 132]
[183, 132]
[273, 113]
[273, 113]
[273, 113]
[272, 112]
[272, 112]
[212, 117]
[212, 117]
[272, 112]
[272, 112]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[273, 113]
[273, 113]
[212, 113]
[212, 113]
[212, 115]
[212, 115]
[212, 114]
[212, 113]
[212, 113]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 111]
[212, 111]
[212, 112]
[211, 112]
[211, 112]
[212, 110]
[212, 110]
[212, 109]
[212, 109]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 117]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[196, 120]
[196, 120]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 115]
[272, 114]
[272, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 113]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[213, 113]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[213, 114]
[213, 114]
[212, 115]
[212, 115]
[273, 117]
[212, 117]
[212, 117]
[196, 127]
